"","DrugName"
"105","(HOME) MYCOPHENOLATE MOFETIL"
"106","(HOME) MYCOPHENOLATE MOFETIL (MYFENAX)"
"107","(HOME) MYCOPHENOLIC ACID"
"108","(HOME) MYCOPHENOLIC ACID (CEPTAVA)"
"109","(HOME) NEORECORMON (Epoetin Beta)"
"110","(HOME) NINTEDANIB (OFEV)"
"111","(HOME) NINTEDANIB (OFEV) (OFEV)"
"112","(HOME) NINTEDANIB (OFEV) (OFEV) (OFEV) (OFEV) (OFEV)"
"113","(HOME) NINTEDANIB (OFEV) (OFEV) (OFEV) (OFEV) (OFEV) (OFEV)"
"114","(HOME) NIVOLUMAB"
"115","(HOME) OBETICHOLIC ACID"
"116","(HOME) ONE OFF VAT COST"
"117","(HOME) PEGVISOMANT"
"118","(HOME) PEMBROLIZUMAB"
"119","(HOME) PHARMAXO ANAPHYLAXIS THERAPY"
"120","(HOME) PHARMAXO ANCILLARY COST"
"121","(HOME) PHARMAXO DELIVERY COST"
"122","(HOME) PHARMAXO NURSING"
"123","(HOME) PIRFENIDONE"
"124","(HOME) PREDNISOLONE"
"125","(HOME) PROGRAF"
"126","(HOME) RENAL 1 MONTHLY DELIVERY"
"127","(HOME) RENAL 2 MONTHLY DELIVERY"
"128","(HOME) RENAL 3 MONTHLY DELIVERY"
"129","(HOME) RENAL 4 MONTHLY DELIVERY"
"130","(HOME) RENAL 5 MONTHLY DELIVERY"
"131","(HOME) RENAL 6 MONTHLY DELIVERY"
"132","(HOME) SANDOSTATIN LAR (Octreotide)"
"133","(HOME) SIROLIMUS"
"134","(HOME) SODIUM CHLORIDE"
"135","(HOME) SODIUM CHLORIDE & MAGNESIUM CHLORIDE"
"136","(HOME) SODIUM LACTATE COMPOUND (Hartmanns)"
"137","(HOME) SOLIRIS AHUS BLOODS"
"138","(HOME) STANDARD DELIVERY CHARGE CALEA"
"139","(HOME) TAUROLOCK"
"140","(HOME) TOCILIZUMAB"
"141","(HOME) TPN Bespoke Pt. No. 1"
"142","(HOME) TRIOMEL N4-700 E 2500mL"
"143","(HOME) USTEKINUMAB"
"144","(HOME) VANQUORAL (Ciclosporin)"
"145","(HOMECARE (BENEPALI) 4022265)"
"146","******vinblastine******IV INFUSION!(PATIENT)(50mL)"
"147","**PRELABEL** (DBH) MITOMYCIN 40mg WITH MITO-IN DEVICE KIT"
"148",".WATER FOR INJECTION (10ML)"
"149","_ORAL CHEMO"
"150","`FILGRASTIM (ZARZIO)^ 48 million units Pre-filled"
"151","`RITUXIMAB (TRUXIMA)^ less than 700 mg Intravenous"
"152","`RITUXIMAB (TRUXIMA)^ less than 800 mg Intravenous"
"153","`RITUXIMAB^ 1400 mg in 11.7mL Sub-Cutaneous Inject"
"154","0"
"155","0.00"
"156","0.6L SHARPSBIN YELLOW"
"157","00/01/1900"
"158","01ZB2191"
"159","01ZB4059"
"160","01ZB4060"
"161","01ZB4061"
"162","01ZB4062"
"163","01ZB4063"
"164","01ZB4064"
"165","01ZB4065"
"166","01ZB4066"
"167","01ZB4067"
"168","01ZB4068"
"169","01ZB4069"
"170","01ZB4070"
"171","01ZB4071"
"172","01ZB4072"
"173","01ZB4073"
"174","01ZB4074"
"175","01ZB4075"
"176","01ZB4076"
"177","01ZB4077"
"178","01ZB4078"
"179","01ZB4079"
"180","01ZB4080"
"181","01ZB4081"
"182","01ZB4082"
"183","01ZB4083"
"184","01ZB4084"
"185","01ZB4085"
"186","01ZB4086"
"187","01ZB4087"
"188","01ZB4088"
"189","01ZB5631"
"190","01ZB5632"
"191","01ZB595"
"192","01ZB8431"
"193","01ZB8432"
"194","05179 - Hizentra 4g/20ml vial [1]"
"195","05383 - Hizentra 2g/10ml vial [1]"
"196","1 - I/P"
"197","1 x CRONO SUP PID 4 WEEKLY"
"198","1.30607E+16"
"199","10009268 ALCOWIPE STERILE ALCO"
"200","10009268 ALCOWIPE STERILE ALCOHOL WIPES"
"201","10ML DASH3 SYRINGE 1 USE ENFIT"
"202","10ML DASH3 SYRINGE 7 DAY ENFIT"
"203","10ML ENTERAL SYRINGE SINGL USE ENFIT"
"204","10ML GBUK SYRINGE 1 USE ENFIT"
"205","10ML GBUK SYRINGE MULTI USE ENFIT"
"206","10ML SYRINGE SINGLE USE ENFIT"
"207","11.5L SHARPSBIN YELLOW"
"208","132188 NUTRINI LO/E M/FIBRE 50"
"209","132188 NUTRINI LO/E M/FIBRE 500ML BOTTLE"
"210","134965 ORANGE CLINICAL WASTE B"
"211","134965 ORANGE CLINICAL WASTE BAGS"
"212","1500244 {TISSEEL READY TO USE SOLUTIONS FOR SEALANT 4ml }"
"213","1501510 {Floseal Hemostatic Matrix 5mL}"
"214","1501765 {4ml Tisseel Lyo Two Component Fibrin Sealant}"
"215","1502244 {TISEEL 4ML }"
"216","1901GB {JOHNSON & JOHNSON Surgicel 50 x 350mm}"
"217","1902GB {Haemostat Absorbable Oxidised Regenerated Cellulose 100 x 200mm}"
"218","1903GB {Haemostat Absorbable Oxidised Regenerated Cellulose 50 x 75mm}"
"219","1L SHARPSBIN PURPLE CYTO"
"220","1L SHARPSBIN YELLOW"
"221","1ML GBUK SYRINGE 1 USE LOW DOSE ENFIT"
"222","1ML GBUK SYRINGE MULTI USE L/DOSE ENFIT"
"223","2 - O/P"
"224","2 CUFT LARDER REFRIGERATOR MTRR602"
"225","2.5ML DASH3 SYRINGE 1 USE LOW DOSE ENFIT"
"226","20% Human Albumin"
"227","2092 {Surgicel snow Size 2 x 4 x 1}"
"228","20ML DASH3 SYRINGE 1 USE ENFIT"
"229","20ML ENTERAL SYRINGE MULTI USE ENFIT"
"230","20ML GBUK SYRINGE 7 DAY ENFIT"
"231","20ML GBUK SYRINGE MULTI USE ENFIT"
"232","23G BLUE NEEDLE 18CM TUBE WITH"
"233","24L SHARPSBIN YELLOW"
"234","250MG"
"235","281682"
"236","284650"
"237","289039"
"238","3-4 DIAMINOPYRIDINE"
"239","3 - OUTSOURCED"
"240","3 4 DIAMINOPYRIDINE"
"241","3 4 DIAMINOPYRIDINE (UNLICENSED) 20 mg Tablets"
"242","3 4 DIAMINOPYRIDINE 20 mg Tablets"
"243","3, 4 DIAMINOPYRIDINE 20 mg tablets"
"244","3,4-DIAMINOPYRIDINE"
"245","3,4-DIAMINOPYRIDINE 20MG TABLETS (SPECIAL ORDER)"
"246","3,4 Diaminopyridine"
"247","3,4 DIAMINOPYRIDINE"
"248","3,4 DIAMINOPYRIDINE 20 mg Tablets"
"249","3,4 DIAMINOPYRIDINE 20mg TABLETS"
"250","3,4 DIAMINOPYRIDINE 20mg TABLETS (100)"
"251","3,4 DIAMINOPYRIDINE!20mg!TABLETS"
"252","3.34705E+16"
"253","330548006"
"254","34 DIAMINOPYRIDINE"
"255","34 DIAMINOPYRIDINE 20 mg Tablets"
"256","3L SHARPSBIN PURPLE"
"257","3L SHARPSBIN YELLOW"
"258","3ML GBUK SYRINGE 1 USE LOW DOSE ENFIT"
"259","4.5% Human Albumin"
"260","4.84811E+15"
"261","4.89781E+15"
"262","41105420 SHARPS BIN 7 LT CYTO "
"263","41105420 SHARPS BIN 7 LT CYTO PURPLE LID"
"264","411961 {SURGICEL FIBRILLAR Absorbable Haemostat, 1ö x 2ö x 1ö}"
"265","411962 {SURGICEL FIBRILLAR Absorbable Haemostat, 2ö x 4ö x 1ö}"
"266","411963 {SURGICEL FIBRILLAR Absorbable Haemostat, 4ö x 4ö x 1ö}"
"267","41602420 - 1LTR SHARPS BIN LID"
"268","41602420 - 1LTR SHARPS BIN LID PURPLE"
"269","4L SHARPSBIN YELLOW ENGLAND"
"270","5-FLUOROURACIL"
"271","5ML DASH3 SYRINGE 1 USE LOW DOSE ENFIT"
"272","5ML DASH3 SYRINGE 7 DAY LOW DOSE ENFIT"
"273","5ML ENTERAL SYRINGE SINGLE USE ENFIT"
"274","5ML GBUK SYRINGE 1 USE ENFIT"
"275","5ML GBUK SYRINGE MULTI USE ENFIT"
"276","5ML LUER SLIP SYRINGE"
"277","60ML DASH3 SYRINGE 1 USE ENFIT"
"278","60ML DASH3 SYRINGE 7 DAY ENFIT"
"279","60ML ENTERAL SYRINGE SINGL USE ENFIT"
"280","60ML GBUK SYRINGE 1 USE ENFIT"
"281","60ML GBUK SYRINGE MULTI USE ENFIT"
"282","60ML SYRINGE 7 DAY ENFIT"
"283","60ML SYRINGE SINGLE USE ENFIT"
"284","7L SHARPSBIN PURPLE"
"285","7L SHARPSBIN PURPLE CYTO TALL"
"286","7L SHARPSBIN PURPLE ROUND"
"287","7L SHARPSBIN YELLOW"
"288","8.28411E+15"
"289","8004006 {PATTIES 1/2                 X 2                 (13 X    51MM) 200/BX                           }"
"290","8Y"
"291","99910092"
"292","999293654"
"293","999401"
"294","A"
"295","Abacavir"
"296","ABACAVIR"
"297","ABACAVIR & LAMIVUDINE"
"298","ABACAVIR & LAMIVUDINE TABLETS"
"299","ABACAVIR (Generic)  (HOMECARE) 300 mg Tablets"
"300","ABACAVIR (Generic) 300 mg Tablets"
"301","ABACAVIR (HOMECARE)"
"302","ABACAVIR (sugar free)"
"303","ABACAVIR / LAMIVUDINE COMBINED"
"304","ABACAVIR / LAMIVUDINE COMBINED (HOMECARE)"
"305","Abacavir + Lamivudine"
"306","ABACAVIR + LAMIVUDINE"
"307","ABACAVIR + LAMIVUDINE + DOLUTEGRAVIR"
"308","ABACAVIR 20MG/ML ORAL SOLUTION SUGAR FREE"
"309","Abacavir 20mg/ml oral solution sugar free 240 ml"
"310","ABACAVIR 300 mg Tablets"
"311","Abacavir 300mg tablets"
"312","ABACAVIR 300MG TABLETSBenefit Share"
"313","ABACAVIR 600mg"
"314","ABACAVIR 600MG & LAMIVUDINE 300MG  Tablets"
"315","ABACAVIR 600mg & LAMIVUDINE 300mg (HOMECARE)"
"316","ABACAVIR 600mg & LAMIVUDINE 300mg (HOMECARE) - ALCURA"
"317","ABACAVIR 600mg / LAMIVUDINE 300mg"
"318","ABACAVIR 600mg / LAMIVUDINE 300mg  Tablets"
"319","ABACAVIR 600mg / LAMIVUDINE 300mg  Tablets *"
"320","ABACAVIR 600MG / LAMIVUDINE 300MG TABLET"
"321","ABACAVIR 600MG / LAMIVUDINE 300MG TABLETBenefit Share"
"322","Abacavir 600mg / Lamivudine 300mg tablets"
"323","ABACAVIR 600mg and LAMIVUDINE 300mg"
"324","ABACAVIR 600MG AND LAMIVUDINE 300MG"
"325","Abacavir 600mg Lamivudine 300mg Tablet"
"326","ABACAVIR 600mg LAMIVUDINE 300mg TABLETS"
"327","ABACAVIR 600MG LAMIVUDINE 300MG TABS (30) VIA HOMECARE"
"328","ABACAVIR 600mg with LAMIVUDINE 300mg"
"329","ABACAVIR 600mg!LAMIVUDINE 300mg!TABLET (30)"
"330","ABACAVIR 600mg!LAMIVUDINE 300mg!TABLETS"
"331","ABACAVIR 600mg!LAMIVUDINE 300mg!TABLETS (MYLAN)"
"332","ABACAVIR 600mg!LAMIVUDINE 300mg!TABS (30)!VIA HOMECARE"
"333","ABACAVIR 600MG, LAMIVUDINE 300MG AND DOLUTEGRAVIR 50MG  Tablets"
"334","ABACAVIR 600mg/ LAMIVUDINE 300mg  Tablets"
"335","ABACAVIR 600mg/ LAMIVUDINE 300mg (HOMECARE)  Table"
"336","ABACAVIR 600mg/LAMIVUDINE 300mg (MYLAN)"
"337","ABACAVIR 600mg/LAMIVUDINE 300mg (was Kivexa) Table"
"338","ABACAVIR 600MG/LAMIVUDINE 300MG/DOLUTEGRAVIR 50MG TAB 30"
"339","ABACAVIR 600mg/LAMIVUDINE 300mg/DOLUTEGRAVIR 50mg!TAB 30"
"340","Abacavir With Dolutegravir And Lamivudine (Triumeq«)"
"341","ABACAVIR with LAMIVUDINE"
"342","ABACAVIR WITH LAMIVUDINE 600mg/300mg  Tablets"
"343","ABACAVIR!300mg!TABLETS"
"344","ABACAVIR/ LAMIVUDINE 600/300MG"
"345","Abacavir/dolutegravir/lamivudine"
"346","Abacavir/Lamivudine Tablets"
"347","abatacept"
"348","Abatacept"
"349","ABATACEPT"
"350","ABATACEPT - ORENCIA (HOMECARE)"
"351","ABATACEPT  250MG POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION"
"352","abatacept $ homecare pen"
"353","abatacept $ homecare syringe"
"354","abatacept $ pen *homecare*"
"355","abatacept $ syringe *homecare*"
"356","ABATACEPT ()"
"357","ABATACEPT (HOME DELIVERY)"
"358","ABATACEPT (HOME DELIVERY) (G-S)"
"359","ABATACEPT (HOME DELIVERY) 125 mg Pre-filled Syringe"
"360","ABATACEPT (HOME) 125 mg Injection"
"361","ABATACEPT (homecare pen pack)"
"362","ABATACEPT (HOMECARE)"
"363","ABATACEPT (Homecare) 125 mg Pre-Filled Pen"
"364","ABATACEPT (Homecare) 125 mg Subcutaneous Injection"
"365","ABATACEPT (ORENCIA CLICK JECT) [HOMECARE] (RHEUMATOLOGY) 125 mg Prefilled Pen"
"366","ABATACEPT (ORENCIA SC) [HOMECARE] (RHEUMATOLOGY) 125 mg Prefilled Syringe"
"367","ABATACEPT (ORENCIA) 125 mg Pre-filled Syringe"
"368","ABATACEPT (ORENCIA) 250 mg Injection"
"369","ABATACEPT (ORENCIA)_(HOMECARE) 125 mg Pre-filled Injection Pen"
"370","ABATACEPT (ORENCIA)_(HOMECARE) 125 mg Pre-filled Syringe"
"371","ABATACEPT [:S/C]"
"372","ABATACEPT 125 mg Pre Filled Syringe"
"373","ABATACEPT 125MG CLICK PENS HOMECARE"
"374","abatacept 125mg pen homecare"
"375","abatacept 125mg syringe"
"376","ABATACEPT 125mg/1ml CLICKJECT PEN"
"377","ABATACEPT 125mg/1mL PRE-FILLED PEN(HOMECARE)"
"378","ABATACEPT 125mg/1mL PREFILLED SYRINGE (4 PFS)(HOMECARE)"
"379","Abatacept 125mg/1ml solution for injection pre-filled disposable devices"
"380","ABATACEPT 125MG/1ML SOLUTION FOR INJECTION PRE-FILLED DISPOSABLE DEVICES"
"381","Abatacept 125mg/1ml solution for injection pre-filled syringes"
"382","ABATACEPT 125MG/1ML SOLUTION FOR INJECTION PRE-FILLED SYRINGES"
"383","ABATACEPT 250 mg Injection"
"384","ABATACEPT 250 mg Intravenous Infusion"
"385","ABATACEPT 250 mg Powder for Soln for Infusion"
"386","ABATACEPT 250mg INJECTION"
"387","ABATACEPT 250mg INJECTION (1)                           "
"388","ABATACEPT 250mg INJECTION (ORENCIA)"
"389","Abatacept 250mg powder for solution for infusion vials"
"390","ABATACEPT 250MG POWDER FOR SOLUTION FOR INFUSION VIALS"
"391","Abatacept 250mg powder for solution for infusion vials 1 vial"
"392","ABATACEPT HOMECARE 125 mg Injection 1 Vial Pack"
"393","ABATACEPT IN SODIUM CHLORIDE 0.9% FORMULA"
"394","ABATACEPT S/C  (HOMECARE)"
"395","ABATACEPT S/C (HOMECARE)"
"396","ABATACEPT!125mg/1mL!PREFILLED SYRINGE (4 PFS)(HOMECARE) "
"397","ABATACEPT!250mg!INJECTION"
"398","ABATACEPT!250mg!INJECTION (1)"
"399","ABATACEPT_HC"
"400","ABBOTT T CONNECTOR L/SLIP [50]"
"401","Abemaciclib"
"402","ABEMACICLIB"
"403","ABEMACICLIB (Compassionate Supply)"
"404","ABEMACICLIB (VERZENIOS)"
"405","ABEMACICLIB (VERZENIOS) 150 mg Tablets"
"406","ABEMACICLIB 100 mg Film Coated Tablets"
"407","ABEMACICLIB 100 mg Tablets"
"408","Abemaciclib 100mg tablets"
"409","ABEMACICLIB 100mg Tablets"
"410","ABEMACICLIB 100MG TABLETS"
"411","ABEMACICLIB 100mg TABLETS (56 tabs)"
"412","ABEMACICLIB 100mg TABLETS (free of charge)"
"413","ABEMACICLIB 150 mg Film Coated Tablets"
"414","ABEMACICLIB 150 mg Tablet"
"415","ABEMACICLIB 150 mg tablets"
"416","ABEMACICLIB 150 mg Tablets"
"417","Abemaciclib 150mg tablets"
"418","ABEMACICLIB 150mg Tablets"
"419","ABEMACICLIB 150mg TABLETS"
"420","ABEMACICLIB 150mg TABLETS (28 tabs)"
"421","ABEMACICLIB 150mg TABLETS (56 tabs)"
"422","ABEMACICLIB 150mg TABLETS(free of charge)"
"423","ABEMACICLIB 50 mg Film Coated Tablets"
"424","ABEMACICLIB 50 mg Tablet"
"425","ABEMACICLIB 50 mg Tablets"
"426","Abemaciclib 50mg tablets"
"427","ABEMACICLIB CDF"
"428","Abemaciclib Tabs 100MG"
"429","Abemaciclib Tabs 150MG"
"430","Abemaciclib Tabs 50MG"
"431","ABEMACICLIB!100mg!TABLETS"
"432","ABEMACICLIB!150mg!TABLETS"
"433","ABEMACICLIB!150mg!TABLETS (56 tabs)"
"434","ABEMACICLIB(LY2835219) CCR:4752 (PN:I3Y-MC-JPCF) monarchE"
"435","ABEMACICLIB/FULVESTRANT CDF"
"436","ABIDEC DROPS (25mL)"
"437","Abiraterone"
"438","ABIRATERONE"
"439","abiraterone $ (homecare)"
"440","ABIRATERONE (ABIRATERONE ACETATE (ZYTIGA) 500 mg Tablets)"
"441","ABIRATERONE (HOME DELIVERY)"
"442","Abiraterone (Homecare)"
"443","ABIRATERONE **STAMPEDE TRIAL - ARM G**"
"444","ABIRATERONE **STAMPEDE TRIAL - ARM J**"
"445","ABIRATERONE 250mg TABLET(120)  STAMPEDE TRIAL  ARM G"
"446","ABIRATERONE 250MG TABLETS 120 TABLET"
"447","ABIRATERONE 500 mg Tablets"
"448","ABIRATERONE 500 mg Tablets (net of return)"
"449","Abiraterone 500mg tablets"
"450","ABIRATERONE 500MG Tablets"
"451","ABIRATERONE 500MG TABLETS"
"452","ABIRATERONE 500mg TABLETS (56)(costed stock)"
"453","Abiraterone 500mg tablets 56 tablet"
"454","ABIRATERONE 500MG TABLETS 56 TABLET"
"455","abiraterone acetate"
"456","Abiraterone Acetate"
"457","ABIRATERONE ACETATE"
"458","ABIRATERONE ACETATE - HOMECARE"
"459","ABIRATERONE ACETATE (CLINICAL TRIAL)"
"460","ABIRATERONE ACETATE (HOMECARE) 500 mg Tablet"
"461","abiraterone acetate (HomeCare), tablets, 500mg,tablet(s), 1 tablet(s)"
"462","ABIRATERONE ACETATE (ZYTIGA)"
"463","ABIRATERONE ACETATE 500 mg Tablets"
"464","ABIRATERONE ACETATE 500 mg Tablets 56 Tablet Pack"
"465","ABIRATERONE ACETATE 500mg TABLETS"
"466","ABIRATERONE ACETATE 500mg TABLETS (56 tabs)"
"467","ABIRATERONE ACETATE 500mg TABLETS (56 tabs) PT ACCESS"
"468","ABIRATERONE ACETATE 500mg TABLETS(HOMECARE)"
"469","ABIRATERONE ACETATE DELIVERY CHARGE"
"470","ABIRATERONE ACETATE TABLET 500mg"
"471","ABIRATERONE ACETATE!250mg!TABLETS (120 tabs)"
"472","ABIRATERONE ACETATE!500mg!TABLETS"
"473","ABIRATERONE ACETATE!500mg!TABLETS (56 tabs)"
"474","abiraterone acetate, tablets,250mg,tablet(s) [120 tablet(s)]"
"475","abiraterone acetate, tablets,500mg,tablet(s) [56 tablet(s)]"
"476","Abiraterone Tabs 500MG"
"477","ABIRATERONEACETATETABLET500mg"
"478","Ablation Probe ATRICLIP ACH 145"
"479","Ablation Probe Atricure"
"480","Ablation Probe Cryoprobe"
"481","ABRAXANE"
"482","ABRAXANE (PACLITAXEL ALBUMIN BOUND NANOPARTICLES)"
"483","ABRAXANE (PACLITAXEL ALBUMIN)"
"484","ABRAXANE (Paclitaxel Albumin) 350mg in 70mL"
"485","ABRAXANE (Paclitaxel Albumin) 450mg in 90mL"
"486","Abraxane (Paclitaxel Albumin) EAMS 200mg in 40mL"
"487","ABRAXANE POWDER FOR SUSP FOR INFUSION 100mg/20ml"
"488","ABRAXANEPOWDERFORSUSPFORINFUSION100mg/20ml"
"489","ACCESSORIES BAXTER HOME INFUSION(HOME)"
"490","Accofil 30million units/0.5ml solution for injection pre-filled syringes (Accord Healthcare Ltd)"
"491","ACCU-CHEK 3.15ML EASYFILL CARTRIDGE 25PCS (05206073001)"
"492","ACCU-CHEK COMBO PUMP KIT (7920458001)"
"493","ACCU-CHEK COMBO SERVICE PACK (05575770001)"
"494","ACCU-CHEK FLEXLINK PLUS 6/70 (05510988001)"
"495","ACCU-CHEK INSIGHT ADAPTER & TUBE 100 (06485464001)"
"496","ACCU-CHEK INSIGHT ADAPTER & TUBE 40 (06485472001)"
"497","ACCU-CHEK INSIGHT ADAPTER & TUBE 70 (06485499001)"
"498","ACCU-CHEK INSIGHT FLEX 6/40 (06477976001)"
"499","ACCU-CHEK INSIGHT FLEX 6/70 (06477984001)"
"500","ACCU-CHEK INSIGHT FLEX 8/40 (06478000001)"
"501","ACCU-CHEK INSIGHT FLEX 8/70 (0647801001)"
"502","ACCU-CHEK INSIGHT FLEX CANNULA 6 (06541801001)"
"503","ACCU-CHEK INSIGHT FLEX CANNULA 8 (06541810001)"
"504","ACCU-CHEK INSIGHT SERVICE PACK (08042756001)"
"505","ACCU-CHEK INSIGHT SYSTEM KIT (07050828001)"
"506","ACCU-CHEK LINK ASSISTANT PLUS (05511097001)"
"507","ACCU-CHEK LITHIUM AA BATTERY"
"508","ACCU-CHEK LITHIUM AAA BATTERY"
"509","ACCU-CHEK RAPID-D LINK CANNULA 6 (4541006001)"
"510","ACCU-CHEK RAPID-D LINK CANNULA 8 (4541014001)"
